year,police_station,fatal_cases,fatal_male,fatal_female,fatal_total,severe_cases,severe_male,severe_female,severe_total,injured_cases,injured_male,injured_female,injured_total,noninjured_cases
1981,S.D.Halli,_,_,_,0,_,_,_,0,6,8,2,10,1
1981,Jalahalli,1,1,_,1,1,1,_,1,15,13,5,18,1
1981,G.Gudi,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Rajajinagar,10,9,1,10,6,3,1,4,70,70,30,100,26
1981,Vijayanagar,3,3,_,3,1,1,1,2,65,60,19,79,28
1981,Subramanyanagar,6,6,1,7,2,2,_,2,50,76,31,107,15
1981,M.Layout,_,_,_,0,_,_,_,0,13,15,6,21,8
1981,Basveshwarnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Kamakshipalya,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Rajgopalnagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,H.Grounds,_,_,_,0,26,26,2,28,43,53,3,56,43
1981,Cubbonpark,7,7,_,7,34,35,2,37,73,85,3,88,86
1981,C.Street,5,5,_,5,14,11,3,14,28,25,10,35,36
1981,Bharathinagar,4,4,_,4,10,8,_,8,23,21,7,28,9
1981,Shivajinagar,1,1,_,1,9,8,1,9,27,25,5,30,5
1981,Sheshadripura,8,7,1,8,20,20,2,22,53,115,3,118,29
1981,Vyalikaval,6,6,_,6,18,17,1,18,25,35,2,37,21
1981,Hebbal,8,8,_,8,14,14,_,14,24,31,2,33,11
1981,Yelahanka,13,13,_,13,5,5,1,6,39,46,1,47,12
1981,J.C.Nagar,2,2,1,3,5,5,1,6,28,35,2,37,12
1981,R.T.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1981,Vidhanasoudha,3,3,_,3,8,8,2,10,17,20,2,22,10
1981,Jayanagar,5,5,1,6,2,2,_,2,31,35,5,40,16
1981,J.P.Nagar,2,2,_,2,1,1,_,1,12,13,8,21,9
1981,Siddapura,2,2,_,2,2,2,_,2,28,31,2,33,10
1981,Thilaknagar,3,3,_,3,1,1,_,1,14,18,1,19,6
1981,Basavanagudi,4,4,_,4,8,6,2,8,25,28,2,30,9
1981,T.R.Nagar,1,1,_,1,2,2,_,2,12,15,3,18,8
1981,Banashankari,3,3,_,3,12,10,2,12,18,20,_,20,9
1981,Hanumanthanagar,2,2,_,2,5,5,_,5,19,25,_,25,6
1981,Subramanyapura,3,3,_,3,3,3,_,3,11,13,1,14,4
1981,Ulsoorgate,8,8,_,8,9,7,2,9,85,90,2,92,29
1981,S.J.Park,3,3,_,3,6,6,_,6,33,35,2,37,2
1981,S.R.Nagar,9,9,_,9,9,9,_,9,28,35,2,37,21
1981,Wilsongarden,13,13,1,14,10,10,2,12,121,149,5,154,38
1981,Ashoknagar,12,13,1,14,12,10,2,12,51,55,8,63,48
1981,Viveknagar,2,2,_,2,2,2,_,2,8,9,1,10,4
1981,Koramangala,5,5,_,5,6,6,_,6,16,19,3,22,12
1981,Audogodi,6,6,_,6,7,7,_,7,12,15,2,17,11
1981,Madivala,10,11,1,12,10,8,2,10,21,26,4,30,15
1981,Micolayout,7,8,1,9,8,8,2,10,18,20,5,25,16
1981,Frazertown,5,4,1,5,8,9,_,9,39,41,2,43,12
1981,K.G.Halli,3,3,_,3,2,2,1,3,10,10,3,13,5
1981,J.J.Halli,2,2,_,2,3,3,1,4,7,7,2,9,5
1981,Banasawadi,3,2,1,3,5,5,_,5,18,18,3,21,12
1981,Ulsoor,12,12,1,13,13,11,2,13,50,71,6,77,33
1981,Indiranagar,3,3,_,3,10,6,1,7,41,51,5,56,17
1981,Byappanahalli,6,6,1,7,8,8,1,9,30,35,2,37,18
1981,K.R.Pura,8,8,1,9,10,10,1,11,25,30,5,35,26
1981,Mahadevapura,5,5,_,5,7,7,_,7,12,17,2,19,14
1981,H.A.L,4,3,_,3,6,6,_,6,22,27,3,30,12
1981,Airport,6,6,_,6,9,9,_,9,26,30,2,32,18
1981,J.B.Nagar,2,2,_,2,4,4,_,4,8,13,2,15,8
1982,Ashokngar,8,7,1,8,15,13,2,15,115,127,2,129,30
1982,Viveknagar,2,2,_,2,3,3,_,3,5,5,_,5,3
1982,Koramangala,5,5,_,5,8,7,1,8,12,15,2,17,10
1982,Audogodi,3,2,_,2,7,7,2,9,19,21,2,23,14
1982,Madivala,8,8,_,8,12,10,1,11,21,25,2,27,15
1982,Micolayout,2,2,_,2,10,10,1,11,12,15,2,17,10
1982,Frazertown,7,7,1,8,20,21,1,22,29,31,4,35,12
1982,K.G.Halli,1,1,_,1,6,6,_,6,6,7,2,9,3
1982,D.J.Halli,2,2,_,2,12,13,1,14,13,15,4,19,9
1982,Banasawadi,2,2,_,2,7,8,1,9,8,14,4,18,6
1982,Ulsoor,14,14,1,15,18,21,1,22,44,54,4,58,20
1982,Indiranagar,3,3,_,3,2,2,_,2,30,42,2,44,
1982,Byappanahalli,6,6,_,6,7,7,_,7,15,15,2,17,
1982,K.R.Puram,7,7,_,7,12,12,_,12,29,29,1,30,
1982,Mahdevpura,2,2,_,2,8,8,_,8,14,14,_,14,
1982,H.A.L,1,1,_,1,2,2,_,2,20,20,_,20,
1982,Airport,1,1,_,1,3,3,_,3,16,16,_,16,
1982,J.B.Nagar,_,_,_,0,3,3,_,3,8,8,_,8,
1982,Central,3,3,1,4,10,10,1,11,35,45,3,48,
1982,Kalasipalayam,7,6,1,7,16,14,3,17,60,80,4,84,32
1982,Shankarapuram,1,1,_,1,8,7,1,8,22,28,2,30,17
1982,Victoria,_,_,_,0,_,_,_,0,_,_,_,0,_
1982,Chamrajpet,10,7,3,10,21,20,3,23,24,28,2,30,15
1982,Byatarayanapura,12,9,3,12,23,20,3,23,40,60,4,64,20
1982,Kengeri,5,4,1,5,6,6,1,7,22,32,2,34,9
1982,G.G.Halli,2,2,_,2,3,3,1,4,9,9,1,10,9
1982,Girinagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1982,Janabharathi,3,3,_,3,2,2,_,2,6,6,_,6,4
1982,H.Grounds,5,5,_,5,20,21,1,22,54,65,3,68,38
1982,Cubbonpark,5,5,_,5,25,26,2,28,54,71,5,76,63
1982,C.Street,3,2,1,3,32,32,2,34,21,28,10,38,21
1982,Bharathinagar,3,2,1,3,11,11,_,11,24,25,6,31,17
1982,Shivajinagar,1,1,_,1,7,7,_,7,14,10,5,15,10
1982,Sheshadripuram,8,8,_,8,14,12,2,14,50,72,4,76,30
1982,Vyalikaval,5,5,_,5,18,16,3,19,26,35,2,37,23
1982,Hebbal,7,7,_,7,15,13,2,15,22,33,2,35,16
1982,Yelahanka,14,14,1,15,10,8,2,10,16,25,3,28,8
1982,J.C.Nagar,6,6,_,6,11,10,1,11,33,45,2,47,18
1982,R.T.Nagar,_,_,_,0,_,_,_,0,_,_,_,0,_
1982,Vidhanasoudha,_,_,_,0,7,8,1,9,19,25,2,27,16
1982,Malleshwaram,7,6,1,7,5,5,1,6,82,60,18,78,25
1982,Sadashivnagar,3,3,_,3,2,1,1,2,20,28,8,36,15
1982,Srirampuram,5,3,2,5,4,3,1,4,41,41,24,65,20
1982,Yeshwanthpur,15,14,1,15,2,1,1,2,93,105,26,131,44
1982,R.M.C.Yard,1,1,_,1,1,1,_,1,6,5,1,6,2
1982,Peenya,12,11,1,12,1,1,_,1,60,87,29,116,37
1982,S.D.Halli,_,_,_,0,_,_,_,0,8,6,3,9,3
1982,Jalahalli,1,_,1,1,1,1,_,1,16,14,2,16,6
1982,G.Gudi,_,_,_,0,_,_,_,0,_,_,_,0,_
1982,Rajajinagar,13,11,3,14,3,2,1,3,65,55,49,104,35
1982,Vijayanagar,9,9,1,10,2,2,_,2,48,38,25,63,26
1982,Subramanyanagar,7,7,_,7,2,2,1,3,51,31,23,54,24
1982,M.Layout,1,1,_,1,1,1,_,1,18,18,2,20,58
1982,Basveshwarnagar,_,_,_,,_,_,_,0,_,_,_,0,_
1982,Kamakshipalya,_,_,_,,_,_,_,0,_,_,_,0,_
1982,Rajgoplanagar,_,_,_,,_,_,_,0,_,_,_,0,_
1983,Central,4,4,1,5,11,11,1,12,25,31,6,37,6
1983,Kalasipalya,6,6,1,7,16,16,2,18,36,41,6,47,13
1983,Shanakarpura,3,3,_,3,12,12,_,12,21,23,2,25,3
1983,Victoria,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,Chamrajpet,12,12,3,15,20,22,4,26,40,45,8,53,36
1983,G.G.Halli,2,2,_,2,4,4,1,5,12,13,2,15,13
1983,Giringar,_,_,_,0,_,_,_,0,_,_,_,0,_
1983,Byatarayanapura,23,23,6,29,29,30,5,35,69,30,11,41,34
